source-ref,class_name,response,date,annotation_time_taken,annotation_worker_id,review_time_taken,review_worker_id,project
s3://labelling-sagemaker-test/cards_labelling_job/input_image_card_data/508f0404-e41b-4b6a-8476-b5fb1dccd545.png,elevated card,Approve,2023-05-12T03:31:42.816723,110.406,hongxian@labeller.mobbin.com,9.861,danish@mobbin.com,cards
s3://labelling-sagemaker-test/cards_labelling_job/input_image_card_data/091987ed-23f5-4d2e-8fe1-8a81b8755482.png,elevated card,Reject,2023-05-12T03:46:29.700169,42.246,hongxian@labeller.mobbin.com,22.227,danish@mobbin.com,cards
s3://labelling-sagemaker-test/cards_labelling_job/input_image_card_data/9a9f8ab7-8f99-4e51-bfd9-407b4952302a.png,elevated card,Approve,2023-05-12T03:01:06.804584,478.223,hongxian@labeller.mobbin.com,14.915,danish@mobbin.com,cards
s3://labelling-sagemaker-test/cards_labelling_job/input_image_card_data/ba586a75-451f-46a2-a42c-e3d388f297d1.png,,Unsure,2023-05-12T03:27:23.904044,14.798,hongxian@labeller.mobbin.com,29.014,danish@mobbin.com,cards
s3://labelling-sagemaker-test/cards_labelling_job/input_image_card_data/7544882b-f294-4d46-8b1f-69352be3925f.png,elevated card,Unsure,2023-05-12T03:48:36.900564,35.741,hongxian@labeller.mobbin.com,9.452,danish@mobbin.com,cards
s3://labelling-sagemaker-test/cards_labelling_job/input_image_card_data/74d81beb-2296-436d-86a8-9bd089f8b56b.png,elevated card,Approve,2023-05-12T03:30:38.807276,75.6,hongxian@labeller.mobbin.com,15.504,danish@mobbin.com,cards
s3://labelling-sagemaker-test/cards_labelling_job/input_image_card_data/74d81beb-2296-436d-86a8-9bd089f8b56b.png,elevated card,Approve,2023-05-12T03:30:38.807276,75.6,hongxian@labeller.mobbin.com,15.504,danish@mobbin.com,cards
s3://labelling-sagemaker-test/cards_labelling_job/input_image_card_data/4a8e73a5-2122-4dc4-95e6-9f92954d42db.png,,Approve,2023-05-12T03:37:01.955189,8.337,hongxian@labeller.mobbin.com,8.588,danish@mobbin.com,cards
s3://labelling-sagemaker-test/cards_labelling_job/input_image_card_data/b85c7c59-498f-4ae7-b2aa-9966d2762306.png,elevated card,Approve,2023-05-12T03:45:25.751637,62.618,hongxian@labeller.mobbin.com,17.318,danish@mobbin.com,cards
s3://labelling-sagemaker-test/cards_labelling_job/input_image_card_data/5c5bbe03-6826-4ac8-b637-39fc46e8033a.png,,Approve,2023-05-12T03:37:01.955825,11.099,hongxian@labeller.mobbin.com,16.183,danish@mobbin.com,cards
s3://labelling-sagemaker-test/cards_labelling_job/input_image_card_data/b55bf21e-eef0-4f54-90e8-bea68cf1637e.png,,Approve,2023-05-12T03:32:48.083188,8.6,hongxian@labeller.mobbin.com,7.126,danish@mobbin.com,cards
s3://labelling-sagemaker-test/cards_labelling_job/input_image_card_data/fb527156-cf32-4a6d-84c3-97cd32bd4900.png,elevated card,Approve,2023-05-12T03:26:16.217748,119.149,hongxian@labeller.mobbin.com,11.047,danish@mobbin.com,cards
s3://labelling-sagemaker-test/cards_labelling_job/input_image_card_data/fb527156-cf32-4a6d-84c3-97cd32bd4900.png,elevated card,Approve,2023-05-12T03:26:16.217748,119.149,hongxian@labeller.mobbin.com,11.047,danish@mobbin.com,cards
